step,f1_mean,f1_std,f1_ci_lower,f1_ci_upper,f1_median,f2_mean,f2_std,f2_ci_lower,f2_ci_upper,f2_median,fitness_diff
0,0.2000000000000001,8.469019281125553e-17,0.20000000000000007,0.20000000000000012,0.2,0.3,0.0,0.3,0.3,0.3,-0.0999999999999999
1,0.6866666666666668,0.24876707473310122,0.5937755143379659,0.7795578189953676,0.65,0.6799999999999998,0.20068847019439237,0.6050616936528187,0.754938306347181,0.6499999999999999,0.006666666666666932
2,1.1233333333333333,0.3470897065137716,0.9937279069155232,1.2529387597511434,1.2,1.12,0.2929045978612761,1.0106276256739362,1.229372374326064,1.2,0.0033333333333331883
3,1.5599999999999998,0.3970581473963141,1.411736051112414,1.7082639488875857,1.6,1.5866666666666664,0.33294229937429654,1.4623439688939517,1.7109893644393812,1.6,-0.026666666666666616
4,2.06,0.44844559121019584,1.8925476642399988,2.2274523357600016,2.2,2.0266666666666664,0.41350756431669594,1.8722604045549174,2.1810729287784154,2.05,0.03333333333333366
5,2.520000000000001,0.46118288690324777,2.3477914798625115,2.6922085201374903,2.65,2.4699999999999998,0.4706195476397996,2.2942677728329777,2.645732227167022,2.3999999999999995,0.050000000000001155
6,2.97,0.47281256766072866,2.7934488856991297,3.1465511143008706,3.15,2.8866666666666663,0.5083667786246417,2.6968393918042786,3.076493941529054,2.8499999999999996,0.08333333333333393
7,3.5066666666666664,0.4711931541371831,3.330720251313437,3.6826130820198957,3.5,3.3266666666666675,0.5457884731938413,3.1228659014042535,3.5304674319290816,3.3999999999999995,0.17999999999999883
8,4.013333333333334,0.5341660166402701,3.8138724646722273,4.2127942019944395,4.1,3.8366666666666664,0.6370640271688895,3.5987830494139743,4.074550283919359,3.8,0.1766666666666672
9,4.4399999999999995,0.5939929176403509,4.218199399362244,4.661800600637755,4.5,4.303333333333333,0.7425414574903908,4.026063796309117,4.5806028703575485,4.300000000000001,0.13666666666666671
10,4.8533333333333335,0.6452656941849257,4.612387163285207,5.09427950338146,4.85,4.753333333333334,0.692687586112255,4.494679537822863,5.0119871288438045,4.85,0.09999999999999964
11,5.336666666666667,0.6656515259675956,5.088108301927973,5.58522503140536,5.449999999999999,5.176666666666666,0.7370413048516827,4.90145092039085,5.451882412942481,5.15,0.16000000000000103
12,5.826666666666667,0.7366903309248471,5.551581976208974,6.1017513571243605,5.800000000000001,5.673333333333331,0.7973807697417984,5.375586460578846,5.971080206087816,5.65,0.15333333333333599
13,6.323333333333334,0.7668490537676679,6.036987190689345,6.609679475977323,6.25,6.166666666666667,0.8833062238303718,5.836834702051783,6.496498631281551,6.25,0.15666666666666718
14,6.826666666666665,0.8059833716661273,6.525707529561549,7.127625803771782,6.85,6.730000000000001,0.9498275705585218,6.375328556291412,7.084671443708591,6.7,0.09666666666666401
15,7.233333333333333,0.8014354937078294,6.9340724017670725,7.532594264899594,7.199999999999999,7.16,0.9234866464691822,6.815164418994249,7.504835581005751,7.1000000000000005,0.07333333333333325
16,7.640000000000001,0.9156117231590073,7.298104963684769,7.981895036315232,7.5,7.47,0.9491012082219028,7.115599784445414,7.8244002155545855,7.550000000000001,0.17000000000000082
17,8.116666666666667,0.9631426053087462,7.757023307271197,8.476310026062137,8.099999999999998,8.020000000000001,0.950644064795565,7.665023672332673,8.37497632766733,7.800000000000001,0.09666666666666579
18,8.536666666666665,0.9799659858042691,8.17074135375315,8.90259197958018,8.45,8.486666666666666,0.9227893746056339,8.142091451253753,8.83124188207958,8.350000000000001,0.049999999999998934
19,8.979999999999999,1.012473924738737,8.601936023194996,9.358063976805001,9.0,8.876666666666665,0.8954610961469199,8.54229599813727,9.21103733519606,8.7,0.1033333333333335
20,9.46,0.9831686984720236,9.092878774522074,9.827121225477928,9.399999999999999,9.319999999999999,0.8864497185110248,8.988994235180492,9.651005764819505,9.1,0.14000000000000234
21,9.950000000000001,0.9929926901838809,9.579210435729406,10.320789564270596,9.7,9.783333333333333,0.8921432285400613,9.45020157692929,10.116465089737376,9.6,0.16666666666666785
22,10.46,0.9991720710599388,10.08690301698892,10.833096983011082,10.349999999999998,10.276666666666666,1.0057364203042647,9.90111851536393,10.652214817969401,10.249999999999998,0.18333333333333535
23,10.916666666666668,0.9996838580731183,10.543378579244152,11.289954754089184,10.850000000000001,10.726666666666665,0.9179938146186829,10.38388214278207,11.06945119055126,10.6,0.19000000000000306
24,11.403333333333334,1.0287197712769462,11.019203057734133,11.787463608932535,11.4,11.153333333333334,0.9405549841242239,10.802124330302933,11.504542336363736,11.199999999999998,0.25
25,11.879999999999999,1.0083786918647664,11.50346520828159,12.256534791718408,11.900000000000002,11.653333333333336,0.9398214552861051,11.302398234472577,12.004268432194095,11.6,0.22666666666666302
26,12.359999999999998,1.0012406097540643,11.986130611946407,12.733869388053588,12.200000000000003,12.15333333333333,0.9507649672703061,11.798311859939984,12.508354806726677,12.35,0.206666666666667
27,12.869999999999997,1.0222186823193748,12.488297270913165,13.25170272908683,12.800000000000002,12.64666666666667,0.9947217019688551,12.275231478785038,13.018101854548302,12.899999999999999,0.2233333333333274
28,13.286666666666665,1.0267905582808565,12.903256771039318,13.670076562294012,13.3,13.116666666666662,0.9340617026555665,12.767882294784354,13.46545103854897,13.25,0.17000000000000348
29,13.776666666666664,1.0351356177460211,13.390140674623412,14.163192658709916,13.899999999999999,13.626666666666667,0.9247304670992563,13.28136663540462,13.971966697928714,13.749999999999998,0.1499999999999968
30,14.223333333333334,1.071474437989245,13.823238202808714,14.623428463857955,14.3,14.08,0.915536398267007,13.738133090461691,14.42186690953831,14.100000000000001,0.14333333333333442
31,14.696666666666665,1.0908659430686827,14.289330629144407,15.104002704188924,14.65,14.486666666666668,0.9874150625482303,14.117959822783776,14.85537351054956,14.45,0.2099999999999973
32,15.199999999999998,1.1313708498984762,14.77753918169868,15.622460818301315,15.250000000000002,14.930000000000001,0.9802005424647933,14.56398710219003,15.296012897809973,15.049999999999999,0.269999999999996
33,15.68,1.176904179734214,15.240536756910986,16.11946324308901,15.75,15.416666666666666,0.889821110783174,15.08440200328332,15.748931330050013,15.450000000000003,0.26333333333333364
34,16.200000000000003,1.1974110002201737,15.752879384296136,16.64712061570387,16.4,15.836666666666664,0.9241896108383868,15.49156859445153,16.1817647388818,15.95,0.3633333333333386
35,16.663333333333334,1.1439445770675691,16.236177408145153,17.090489258521515,16.700000000000003,16.396666666666665,0.9061031886632707,16.058322175483717,16.735011157849613,16.4,0.26666666666666927
36,17.049999999999997,1.1144041240609885,16.633874661247088,17.466125338752907,17.200000000000003,16.886666666666667,0.8565098921800606,16.566840616732613,17.20649271660072,17.0,0.16333333333333044
37,17.453333333333337,1.1168716572868056,17.036286602531256,17.870380064135418,17.5,17.35666666666667,0.8943050984956994,17.02272765475432,17.69060567857902,17.45,0.09666666666666757
38,17.863333333333333,1.0851611459334867,17.45812750207032,18.268539164596348,17.75,17.713333333333328,0.9088580684054834,17.37396015314861,18.052706513518046,17.65,0.15000000000000568
39,18.333333333333336,1.138157413915393,17.908338370380598,18.758328296286074,18.35,18.136666666666663,0.972193869318373,17.77364350974458,18.499689823588746,18.05,0.19666666666667254
40,18.790000000000003,1.2537804900545306,18.321830670866063,19.258169329133942,18.75,18.56333333333333,0.962927767310441,18.203770195764836,18.922896470901822,18.650000000000002,0.22666666666667368
41,19.246666666666666,1.311417588700877,18.75697529119325,19.736358042140083,19.200000000000003,18.923333333333336,0.939436123366063,18.57254211977621,19.274124546890462,19.049999999999997,0.3233333333333306
42,19.806666666666665,1.3863704369704897,19.288987437681875,20.324345895651454,19.75,19.463333333333324,0.9076241563529492,19.12442090348124,19.802245763185407,19.7,0.3433333333333408
43,20.35333333333333,1.4356863871677727,19.81723922590482,20.889427440761843,20.300000000000004,19.986666666666668,0.8943243773676437,19.65272045590522,20.320612877428115,20.049999999999997,0.3666666666666636
44,20.823333333333334,1.4703232891825677,20.27430559413421,21.37236107253246,20.650000000000006,20.45,0.8834688683701941,20.120107302915834,20.779892697084165,20.6,0.37333333333333485
45,21.259999999999998,1.4940341130758978,20.70211849365151,21.817881506348485,21.249999999999996,20.863333333333337,0.9312517839217668,20.51559820235002,21.211068464316654,20.9,0.39666666666666117
46,21.72666666666667,1.4913389802533126,21.169791539453517,22.283541793879824,21.650000000000002,21.383333333333333,0.9766527400835189,21.018645206704534,21.748021459962132,21.45,0.34333333333333727
47,22.116666666666664,1.6107576570934123,21.515199872677883,22.718133460655444,22.199999999999996,21.803333333333338,1.0152232074374297,21.42424275749696,22.182423909169717,21.8,0.31333333333332547
48,22.603333333333335,1.6367510571215484,21.992160444258843,23.214506222407827,22.649999999999995,22.21333333333333,1.1422099974001814,21.78682511083765,22.639841555829012,22.2,0.3900000000000041
49,23.106666666666666,1.6619335090507528,22.48609049550319,23.72724283783014,23.099999999999994,22.63666666666667,1.1698757179300292,22.199827894347308,23.073505438986032,22.499999999999996,0.4699999999999953
50,23.54666666666667,1.612180646448037,22.944668519720334,24.148664813613006,23.599999999999994,23.110000000000003,1.1541081046597765,22.67904895123778,23.540951048762224,22.75,0.4366666666666674
51,24.006666666666664,1.6766002820431372,23.380613832461396,24.632719500871932,23.949999999999996,23.529999999999994,1.1543471061077393,23.09895970663041,23.961040293369578,23.4,0.4766666666666701
52,24.42333333333334,1.6910888827011437,23.791870366729334,25.054796299937344,24.349999999999994,24.003333333333334,1.148457236029496,23.574492353595673,24.432174313070995,23.9,0.42000000000000526
53,24.903333333333332,1.5966523887730582,24.307133533095993,25.499533133570672,24.899999999999995,24.423333333333336,1.0374648588426196,24.035937588370626,24.810729078296045,24.400000000000002,0.4799999999999969
54,25.316666666666663,1.658225751723257,24.697474994842885,25.93585833849044,25.299999999999997,24.92333333333334,1.0467299929594656,24.53247793043351,25.314188736233167,24.700000000000003,0.39333333333332376
55,25.76666666666666,1.6634681953020949,25.145517434238936,26.38781589909438,25.64999999999999,25.25333333333333,1.0510203034009016,24.860875902186073,25.645790764480587,25.050000000000004,0.5133333333333283
56,26.169999999999998,1.6036918613645503,25.571171617497455,26.76882838250254,26.049999999999994,25.716666666666658,1.1694629870846378,25.279982010577797,26.15335132275552,25.6,0.45333333333334025
57,26.646666666666665,1.6722343783369467,26.022244087697782,27.271089245635547,26.499999999999996,26.106666666666673,1.1884308209113217,25.66289930502592,26.550434028307425,26.000000000000004,0.539999999999992
58,27.106666666666673,1.7443373078846198,26.455320411326454,27.75801292200689,26.949999999999996,26.500000000000004,1.1878697246578114,26.05644215514362,26.943557844856386,26.200000000000003,0.6066666666666691
59,27.476666666666656,1.7137744858953146,26.836732756613888,28.116600576719424,27.349999999999998,26.996666666666663,1.2842503068229016,26.517119720965518,27.476213612367808,26.9,0.4799999999999933
60,28.00666666666667,1.786140770089165,27.33971074200154,28.673622591331803,27.599999999999998,27.470000000000002,1.3235662379370747,26.975772244348466,27.96422775565154,27.25,0.5366666666666688
61,28.536666666666665,1.7862469484703234,27.86967109434242,29.203662238990912,28.349999999999994,27.90333333333333,1.2874683346178586,27.42258475630529,28.384081910361367,27.749999999999996,0.6333333333333364
62,29.046666666666667,1.7631737319944967,28.38828677496924,29.705046558364092,29.0,28.410000000000004,1.321271592326748,27.91662907910105,28.903370920898958,28.150000000000002,0.6366666666666632
63,29.529999999999998,1.7720337040462464,28.86831174036694,30.191688259633054,29.349999999999998,28.946666666666665,1.2910122554329861,28.464594767858074,29.428738565475257,28.75,0.5833333333333321
64,29.96666666666666,1.8863088081065165,29.262307381898832,30.67102595143449,29.749999999999993,29.42333333333333,1.3327915565959063,28.925660787081036,29.92100587958562,29.20000000000001,0.543333333333333
65,30.47666666666667,1.9202520189006307,29.759632778687045,31.193700554646295,30.249999999999993,29.919999999999998,1.4322396254913459,29.385192934533407,30.45480706546659,29.750000000000004,0.556666666666672
66,30.943333333333335,1.9400823539813667,30.218894676540593,31.667771990126077,30.649999999999995,30.400000000000002,1.4022149965507171,29.876404315233728,30.923595684766276,30.099999999999998,0.543333333333333
67,31.48333333333333,1.9884291726668657,30.74084167775069,32.22582498891597,31.299999999999997,30.89,1.494668686618751,30.331881539996388,31.448118460003613,30.6,0.5933333333333302
68,31.983333333333334,2.0041479973800063,31.234972172140182,32.73169449452649,31.6,31.30666666666666,1.4982595266493066,30.747207364959525,31.866125968373797,31.150000000000006,0.676666666666673
69,32.563333333333325,2.0186173713594195,31.809569219101213,33.31709744756544,32.150000000000006,31.813333333333333,1.587175616238358,31.220672218117112,32.405994448549556,31.60000000000001,0.7499999999999929
70,33.010000000000005,2.031535855217543,32.25141204461766,33.76858795538235,32.75,32.253333333333345,1.6487682619486579,31.63767314622973,32.86899352043696,32.0,0.7566666666666606
71,33.48999999999999,2.0449011442255984,32.72642136368249,34.253578636317485,33.39999999999999,32.75,1.6614804366525988,32.12959300885039,33.37040699114961,32.35000000000001,0.7399999999999878
72,33.996666666666655,2.062720555953717,33.22643415265646,34.76689918067685,33.89999999999999,33.29333333333334,1.652570272559423,32.67625345213564,33.91041321453103,32.85000000000001,0.7033333333333189
73,34.55333333333332,2.0845463135496223,33.774950947497416,35.331715719169225,34.29999999999999,33.78333333333334,1.6895384665301516,33.15244930164211,34.41421736502457,33.250000000000014,0.7699999999999818
74,35.07333333333334,2.1028606678773873,34.28811225520069,35.85855441146599,34.749999999999986,34.243333333333325,1.6660263137660574,33.6212288837726,34.86543778289405,33.7,0.8300000000000125
75,35.58,2.143699670164189,34.779529387794376,36.38047061220562,35.249999999999986,34.70666666666666,1.7198503008899526,34.06446401000909,35.34886932332424,34.300000000000004,0.8733333333333348
76,36.11,2.210063191482272,35.28474884167733,36.93525115832267,35.74999999999999,35.25,1.7915029329087584,34.581041810831735,35.918958189168265,34.800000000000004,0.8599999999999994
77,36.59999999999999,2.2925666989131406,35.74394152569856,37.456058474301415,36.099999999999994,35.756666666666675,1.8184273867602008,35.07765472120142,36.43567861213193,35.400000000000006,0.8433333333333124
78,37.05999999999999,2.243242726731653,36.222359399600414,37.89764060039956,36.84999999999998,36.18,1.7642816258104614,35.52120641395282,36.83879358604718,35.95,0.8799999999999883
79,37.60999999999999,2.2566912000567934,36.76733765713078,38.4526623428692,37.34999999999998,36.7,1.687683578775642,36.0698085947793,37.3301914052207,36.400000000000006,0.9099999999999895
80,38.05666666666666,2.2597960440976776,37.21284495597891,38.90048837735441,37.79999999999998,37.25666666666667,1.6726364349966052,36.632093957273746,37.88123937605959,37.000000000000014,0.79999999999999
81,38.55666666666666,2.362739983554058,37.67440505724384,39.43892827608948,38.29999999999999,37.663333333333334,1.6692933324868489,37.04000895893336,38.286657707733305,37.50000000000001,0.8933333333333238
82,39.09333333333334,2.40530065986932,38.19517930618983,39.99148736047685,38.94999999999999,38.09,1.709880011922592,37.451520310428094,38.72847968957191,37.75,1.0033333333333374
83,39.48666666666666,2.385550371447356,38.59588751842265,40.377445814910665,39.44999999999999,38.48,1.7009936244280333,37.844838542052166,39.11516145794783,38.05,1.0066666666666606
84,39.93666666666666,2.392154321704715,39.04342156286971,40.82991177046361,39.94999999999999,38.97000000000001,1.7308857608869994,38.32367663485759,39.616323365142435,38.7,0.9666666666666472
85,40.453333333333326,2.3797614098510094,39.56471581887485,41.3419508477918,40.349999999999994,39.416666666666664,1.7146595788273415,38.77640225748148,40.05693107585185,39.100000000000016,1.0366666666666617
86,40.893333333333324,2.382107634345931,40.003839724250234,41.78282694241641,40.5,39.93000000000002,1.7306865291175497,39.283751029222955,40.57624897077709,39.650000000000006,0.9633333333333027
87,41.316666666666656,2.3294343450323005,40.44684158705651,42.1864917462768,41.05,40.373333333333335,1.708383654991953,39.73541239262211,41.01125427404456,40.000000000000014,0.9433333333333209
88,41.813333333333325,2.32627174463454,40.94468918811982,42.681977478546834,41.499999999999986,40.860000000000014,1.6637307474468295,40.23875272899023,41.4812472710098,40.75,0.9533333333333118
89,42.283333333333324,2.3366765867925183,41.410803956206024,43.155862710460624,42.19999999999999,41.330000000000005,1.7424022260205492,40.67937631610296,41.98062368389705,41.150000000000006,0.9533333333333189
90,42.76666666666666,2.3392208153546483,41.893187258980944,43.64014607435237,42.599999999999994,41.74333333333335,1.676960167177157,41.117146115810506,42.36952055085619,41.50000000000001,1.0233333333333121
91,43.20000000000001,2.410322628283142,42.29997073903217,44.10002926096785,43.099999999999994,42.309999999999995,1.776154311407378,41.646773080291126,42.973226919708864,42.10000000000002,0.8900000000000148
92,43.556666666666665,2.3836632678951535,42.66659217446975,44.44674115886358,43.599999999999994,42.620000000000005,1.789316956945799,41.95185806767111,43.2881419323289,42.40000000000002,0.9366666666666603
93,44.039999999999985,2.388997769950308,43.147933571999125,44.932066428000844,44.249999999999986,43.12333333333335,1.8159605292181167,42.44524252761282,43.80142413905388,43.150000000000006,0.9166666666666359
94,44.48666666666665,2.3989557115017965,43.59088188218099,45.38245145115231,44.54999999999999,43.53000000000001,1.7650144084593042,42.870932788414834,44.18906721158518,43.550000000000004,0.9566666666666421
95,44.97666666666667,2.4459231856060026,44.06334393912246,45.88998939421087,45.09999999999999,44.006666666666675,1.7865268430447727,43.33956657999068,44.67376675334267,44.099999999999994,0.9699999999999918
96,45.47333333333333,2.417313032863252,44.570693812396854,46.375972854269804,45.64999999999999,44.46,1.8661411411307205,43.763171445845025,45.15682855415498,44.44999999999999,1.0133333333333283
97,46.06666666666665,2.4368342002565924,45.15673782202882,46.976595511304474,46.25,44.960000000000015,1.8447689323579475,44.27115195975687,45.64884804024316,45.05,1.1066666666666336
98,46.50999999999999,2.445030145784109,45.597010739005654,47.42298926099433,46.7,45.39333333333334,1.842586887172919,44.70530008215297,46.08136658451371,45.349999999999994,1.116666666666653
99,47.05333333333333,2.3623094096934882,46.171232502832375,47.93543416383428,47.3,45.91333333333334,1.8070233350273346,45.23857973076905,46.588086935897635,45.89999999999998,1.1399999999999864
